fuel_aer_NG,fuel_aer_DFO,fuel_aer_HYC,fuel_aer_SUN,fuel_aer_WND,fuel_aer_COL,fuel_aer_MLG,fuel_aer_NUC,mover_CT,mover_GT,mover_HY,mover_IC,mover_PV,mover_ST,mover_WT,state_CA,state_TX,state_NY,state_FL,state_MN,state_MI,state_NC,state_PA,state_MA,state_WI,state_NJ,state_IA,state_IL,state_OH,state_GA,state_WA,total_fuel_cons,total_fuel_cons_mmbtu,p_0,p_1,p_2,p_3,p_4,net_generation_MWh
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001151420637163037,1.5308953203201137,-1.4835372048486948,-0.8904375744645344,0.594645874841471,-1.0654993319293626,0.0011919341643384905
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019465824925902732,1.5309290130340412,-1.4835279624946547,-0.890449900611511,0.5947292961597634,-1.0654051027080584,0.00019732342785186384
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000994695918287752,1.5309008394345618,-1.483535690883099,-0.8904395935781034,0.5946595398672109,-1.0654838964895863,0.0010290029418411524
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001529153959254218,1.5308820183122978,-1.483540853764183,-0.8904327080562131,0.5946129397971067,-1.0655365339737273,0.001584607292331772
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1380738983382314e-05,0.0001223744373818897,0.16754004629057365,0.14340286823486365,-0.04222302727946459,0.10125224716056468,0.6964903879067466,0.00012765083967311122
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022296798279167643,0.015618368821762138,-0.6133304361337747,0.16386928708566026,-0.8064469023520694,1.1394212640491226,-0.6191651972625655,0.016955603955745076
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00130448225759053,1.5308899302029275,-1.4835386834286475,-0.8904356025433409,0.5946325292059012,-1.0655144065994027,0.0013510659609932193
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020609075955219668,1.5302101123493401,-1.4837251663964257,-0.8901868978887194,0.5929493373541802,-1.067415669498861,0.021419287859304796
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00047380232089226486,1.5309191828803175,-1.4835306590349564,-0.8904463043467559,0.5947049572363865,-1.0654325949347954,0.00048751074448022375
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019595181208963727,1.5308668628915096,-1.4835450110951967,-0.8904271635950419,0.5945754158035177,-1.0655789195026124,0.0020320020210971754
